score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.999,PENDENT,PERE LLUCH MOLINARI,"Lluch Molinari, Pere",,Font-Rubí,"""{\""nom_similar\"":true,\""score\"":1,\""existent\"":\""PERE LLUCH MOLINARI\"",\""nou\"":\""Lluch Molinari, Pere\"",\""mateixa_poblacio\"":false}"""
0.999,PENDENT,MIGUEL ANGEL DIAZ SORIANO,"Díaz Soriano, Miguel Angel",,Sitges,"""{\""nom_similar\"":true,\""score\"":1,\""existent\"":\""MIGUEL ANGEL DIAZ SORIANO\"",\""nou\"":\""Díaz Soriano, Miguel Angel\"",\""mateixa_poblacio\"":false}"""
0.939,PENDENT,CELLERS DOMENYS I SECCIO DE CREDIT SCCL,CELLERS DOMENYS I SECCIO CREDIT SCCL,Sant Jaume dels Domenys,,"""{\""nom_similar\"":true,\""score\"":0.939393937587738,\""existent\"":\""CELLERS DOMENYS I SECCIO DE CREDIT SCCL\"",\""nou\"":\""CELLERS DOMENYS I SECCIO CREDIT SCCL\"",\""mateixa_poblacio\"":false}"""
0.929,PENDENT,"SAT 4768 Masies d’Avinyó, Ltda.","SAT n. 4768 Masies d´Avinyó, LTDA",Sts. Maria Horta d’Avinyó,Santa Maria Horta d’Avinyó,"""{\""nom_similar\"":true,\""score\"":0.928571403026581,\""existent\"":\""SAT 4768 Masies d’Avinyó, Ltda.\"",\""nou\"":\""SAT n. 4768 Masies d´Avinyó, LTDA\"",\""mateixa_poblacio\"":false}"""
0.926,PENDENT,CAVAS DEL CASTILLO DE PERELADA S.L,CAVAS CASTILLO DE PERELADA SL,Vilafranca del Penedès,,"""{\""nom_similar\"":true,\""score\"":0.92592591047287,\""existent\"":\""CAVAS DEL CASTILLO DE PERELADA S.L\"",\""nou\"":\""CAVAS CASTILLO DE PERELADA SL\"",\""mateixa_poblacio\"":false}"""
0.923,PENDENT,Solà i Raventós / Colldejuí S.L.,COLLDEJUI SL - SOLA RAVENTÓS,,,"""{\""nom_similar\"":true,\""score\"":0.923076927661896,\""existent\"":\""Solà i Raventós / Colldejuí S.L.\"",\""nou\"":\""COLLDEJUI SL - SOLA RAVENTÓS\"",\""mateixa_poblacio\"":false}"""
0.911,PENDENT,CLIENTS PENDENTS FORM. AMPOLLA PUNTA COLLITA 2.020,CLIENTS PENDENTS FORM. AMPOLLA PUNTA COLLITA 2.021,,,"""{\""nom_similar\"":true,\""score\"":0.911111116409302,\""existent\"":\""CLIENTS PENDENTS FORM. AMPOLLA PUNTA COLLITA 2.020\"",\""nou\"":\""CLIENTS PENDENTS FORM. AMPOLLA PUNTA COLLITA 2.021\"",\""mateixa_poblacio\"":false}"""
0.909,PENDENT,LA VINICOLA DE GANDESA S.L,VINÍCOLA DE GANDESA SL,Horta de Sant Joan / Gandesa,Horta de Sant Joan / Gandesa,"""{\""nom_similar\"":true,\""score\"":0.909090936183929,\""existent\"":\""LA VINICOLA DE GANDESA S.L\"",\""nou\"":\""VINÍCOLA DE GANDESA SL\"",\""mateixa_poblacio\"":false}"""
0.900,PENDENT,LLUIS VICH SASTRE f ‘,LLUIS VICH SASTRE,,,"""{\""nom_similar\"":true,\""score\"":0.899999976158142,\""existent\"":\""LLUIS VICH SASTRE f ‘\"",\""nou\"":\""LLUIS VICH SASTRE\"",\""mateixa_poblacio\"":false}"""
0.893,PENDENT,BLANCHER CAPDEVILA PUJOL S.A .. SF,"Blancher Capdevila Pujol, SA",,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.892857134342194,\""existent\"":\""BLANCHER CAPDEVILA PUJOL S.A .. SF\"",\""nou\"":\""Blancher Capdevila Pujol, SA\"",\""mateixa_poblacio\"":false}"""
0.893,PENDENT,te COLET ROMERO ELABORADORS S.L,COLET ROMERO ELABORADORS SL,,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.892857134342194,\""existent\"":\""te COLET ROMERO ELABORADORS S.L\"",\""nou\"":\""COLET ROMERO ELABORADORS SL\"",\""mateixa_poblacio\"":false}"""
0.886,PENDENT,UNIDAD TECNICA DE INNOVACION Y DESA.S.L,UNIDAD TECNICA DE INNOVACION Y D,,,"""{\""nom_similar\"":true,\""score\"":0.885714292526245,\""existent\"":\""UNIDAD TECNICA DE INNOVACION Y DESA.S.L\"",\""nou\"":\""UNIDAD TECNICA DE INNOVACION Y D\"",\""mateixa_poblacio\"":false}"""
0.879,PENDENT,AGRUPACIO VITICULTORS ARTESANALS S.L,AGRUPACIO VITICULTORS ARTESANA,La Granada,,"""{\""nom_similar\"":true,\""score\"":0.878787875175476,\""existent\"":\""AGRUPACIO VITICULTORS ARTESANALS S.L\"",\""nou\"":\""AGRUPACIO VITICULTORS ARTESANA\"",\""mateixa_poblacio\"":false}"""
0.875,PENDENT,SADEVE S,SADEVE SA,Torrelavit,Torrelavit,"""{\""nom_similar\"":true,\""score\"":0.875,\""existent\"":\""SADEVE S\"",\""nou\"":\""SADEVE SA\"",\""mateixa_poblacio\"":false}"""
