fitxer,full,fila,resultat,motiu,dades
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,8,EXCLOSA,Bag in Box,"""{\""DOCUMENT\"":\""EMCS\"",\""Nº GUIA\"":\""25000000079\"",\""DATA GUIA\"":\""2025-02-25T00:00:00.000Z\"",\""CLIENT\"":\""AARSTIDERNE A/S - ENGROS\"",\""PRODUCTE\"":\""BIB BLANC ECOLÒGIC\"",\""LITRES\"":\""1080\"",\""KG\"":null,\""GRAU EMCS\"":\""12.3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""2502\"",\""VTO\"":null,\""Nº FACT.\"":\""224/128\"",\""VI VELL\"":null,\""COLLITA 2024\"":\""1080\"",\""VI TÈRBOL\"":null,\""ECO\"":\""X\"",\""B / N\"":\""N\"",\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,9,EXCLOSA,Bag in Box,"""{\""DOCUMENT\"":\""EMCS\"",\""Nº GUIA\"":\""24000000229\"",\""DATA GUIA\"":\""2024-11-26T00:00:00.000Z\"",\""CLIENT\"":\""AARSTIDERNE A/S - ENGROS\"",\""PRODUCTE\"":\""BIB NEGRE ECOLÒGIC\"",\""LITRES\"":\""1080\"",\""KG\"":null,\""GRAU EMCS\"":\""12.5\"",\""GRAU REAL\"":null,\""PREU\"":\""1.75\"",\""TOTAL\"":\""1890\"",\""VTO\"":null,\""Nº FACT.\"":\""224/51\"",\""VI VELL\"":\""1080\"",\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":\""X\"",\""B / N\"":\""N\"",\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,13,REBUTJADA,fila sense client o producte,"""{\""DOCUMENT\"":\""EMCS\"",\""Nº GUIA\"":\""24000000201\"",\""DATA GUIA\"":\""2024-08-27T00:00:00.000Z\"",\""CLIENT\"":\""ANUL·LADA\"",\""PRODUCTE\"":null,\""LITRES\"":null,\""KG\"":null,\""GRAU EMCS\"":null,\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":null,\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,14,REBUTJADA,fila sense client o producte,"""{\""DOCUMENT\"":\""EMCS\"",\""Nº GUIA\"":\""24000000202\"",\""DATA GUIA\"":\""2024-08-27T00:00:00.000Z\"",\""CLIENT\"":\""ANUL·LADA\"",\""PRODUCTE\"":null,\""LITRES\"":null,\""KG\"":null,\""GRAU EMCS\"":null,\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":null,\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,40,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000003\"",\""DATA GUIA\"":\""2024-08-19T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""10940\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""187.29\"",\""VTO\"":null,\""Nº FACT.\"":\""224/11\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,41,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000004\"",\""DATA GUIA\"":\""2024-08-21T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""10080\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""172.44\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,42,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000005\"",\""DATA GUIA\"":\""2024-08-23T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""10520\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""180.44\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,43,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000007\"",\""DATA GUIA\"":\""2024-08-24T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9560\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,44,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000008\"",\""DATA GUIA\"":\""2024-08-27T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9640\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,45,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000009\"",\""DATA GUIA\"":\""2024-08-28T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""12320\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,46,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000010\"",\""DATA GUIA\"":\""2024-08-28T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""13220\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
